Region,Block_Number,Block_Name,Site_ID,Site_Name,Latitude,Longitude,Site_Type,GRTS_Number,Date_Established
PWS,09,EPWS,PWS_B09_ME_04,Simpson or Simpson Bay,60.67212,-145.88406,mussel,NA,4-Jun-12
PWS,09,EPWS,PWS_B09_ME_05,Observation or Observation Island,60.59523,-145.73479,mussel,NA,5-Jun-12
PWS,09,EPWS,PWS_B09_RE_01,Galena or Galena Bay,60.93251,-146.66501,rocky,2,8-Jun-12
PWS,09,EPWS,PWS_B09_RE_02,Fidalgo or Port Fidalgo,60.86296,-146.23009,rocky,7,7-Jun-12
PWS,09,EPWS,PWS_B09_RE_03,Olsen or Olsen Bay,60.73119,-146.18831,rocky,5,6-Jun-12
PWS,09,EPWS,PWS_B09_RE_04,Simpson or Simpson Bay,60.68082,-145.87872,rocky,9,4-Jun-12
PWS,09,EPWS,PWS_B09_RE_05,Observation or Observation Island,60.60207,-145.73062,rocky,4,5-Jun-12
PWS,09,EPWS,PWS_B09_SE_01,Galena or Galena Bay,60.95308,-146.64136,soft,NA,8-Jun-12
PWS,09,EPWS,PWS_B09_SE_02,Fidalgo or Port Fidalgo,60.85356,-146.2719,soft,NA,7-Jun-12
PWS,09,EPWS,PWS_B09_SE_03,Olsen or Olsen Bay,60.74636,-146.19296,soft,NA,6-Jun-12
PWS,09,EPWS,PWS_B09_SE_04,Simpson or Simpson Bay,60.67212,-145.88399,soft,NA,4-Jun-12
PWS,09,EPWS,PWS_B09_SE_05,Observation or Observation Island,60.59482,-145.73584,soft,NA,5-Jun-12
